,bowl_type,bowl_style,bowler
0,Pace,MEDIUM_SEAM,DL Chahar
6,Pace,MEDIUM_SEAM,SR Watson
37,Spin,OFF_SPIN,Harbhajan Singh
43,Spin,ORTHODOX,RA Jadeja
55,Pace,FAST_SEAM,MA Wood
61,Spin,LEG_SPIN,Imran Tahir
67,Pace,MEDIUM_SEAM,DJ Bravo
122,Pace,FAST_SEAM,MJ McClenaghan
128,Pace,FAST_SEAM,Mustafizur Rahman
134,Pace,FAST_SEAM,JJ Bumrah
140,Pace,MEDIUM_SEAM,HH Pandya
158,Spin,LEG_SPIN,M Markande
246,Spin,OFF_SPIN,R Ashwin
252,Pace,MEDIUM_SEAM,MM Sharma
258,Spin,OFF_SPIN,Mujeeb Ur Rahman
264,Spin,ORTHODOX,AR Patel
277,Pace,MEDIUM_SEAM,AJ Tye
303,Pace,MEDIUM_SEAM,MP Stoinis
370,Pace,FAST_SEAM,TA Boult
382,Spin,LEG_SPIN,A Mishra
388,Pace,FAST_SEAM,CH Morris
424,Spin,LEG_SPIN,R Tewatia
484,Pace,MEDIUM_SEAM,R Vinay Kumar
490,Spin,LEG_SPIN,PP Chawla
496,Spin,UNORTHODOX,Kuldeep Yadav
521,Spin,OFF_SPIN,SP Narine
527,Pace,FAST_SEAM,MG Johnson
563,Pace,FAST_SEAM,AD Russell
569,Spin,OFF_SPIN,N Rana
605,Spin,LEG_SPIN,YS Chahal
611,Pace,FAST_SEAM,CR Woakes
617,Spin,OFF_SPIN,Washington Sundar
636,Pace,FAST_SEAM,UT Yadav
643,Pace,FAST_SEAM,K Khejroliya
728,Pace,MEDIUM_SEAM,B Kumar
735,Pace,FAST_SEAM,B Stanlake
747,Spin,ORTHODOX,Shakib Al Hasan
766,Pace,MEDIUM_SEAM,S Kaul
773,Spin,LEG_SPIN,Rashid Khan
853,Pace,MEDIUM_SEAM,DS Kulkarni
859,Pace,MEDIUM_SEAM,JD Unadkat
879,Spin,OFF_SPIN,K Gowtham
885,Pace,FAST_SEAM,B Laughlin
892,Spin,LEG_SPIN,S Gopal
898,Pace,FAST_SEAM,BA Stokes
930,Spin,UNORTHODOX,DJM Short
996,Pace,MEDIUM_SEAM,SN Thakur
1106,Pace,FAST_SEAM,TK Curran
1205,Spin,ORTHODOX,S Nadeem
1345,Pace,MEDIUM_SEAM,Sandeep Sharma
1469,Pace,MEDIUM_SEAM,PJ Sangwan
1487,Pace,FAST_SEAM,BCJ Cutting
1493,Spin,ORTHODOX,KH Pandya
1871,Spin,OFF_SPIN,GJ Maxwell
1958,Spin,OFF_SPIN,A Dananjaya
2284,Pace,FAST_SEAM,Shivam Mavi
2397,Spin,ORTHODOX,P Negi
2687,Pace,MEDIUM_SEAM,BB Sran
2731,Spin,ORTHODOX,Yuvraj Singh
2883,Pace,MEDIUM_SEAM,V Shankar
3054,Pace,MEDIUM_SEAM,Mohammed Siraj
3085,Pace,MEDIUM_SEAM,CJ Anderson
3525,Pace,FAST_SEAM,CJ Jordan
3555,Spin,OFF_SPIN,DJ Hooda
3772,Pace,MEDIUM_SEAM,STR Binny
4002,Spin,LEG_SPIN,KV Sharma
4017,Pace,MEDIUM_SEAM,AS Rajpoot
4386,Pace,MEDIUM_SEAM,HV Patel
4712,Pace,FAST_SEAM,JC Archer
4948,Pace,FAST_SEAM,Avesh Khan
4966,Pace,FAST_SEAM,LE Plunkett
5316,Spin,OFF_SPIN,Mohammad Nabi
5394,Pace,MEDIUM_SEAM,Basil Thampi
5717,Spin,LEG_SPIN,MK Tiwary
6442,Spin,LEG_SPIN,IS Sodhi
6466,Spin,ORTHODOX,MK Lomror
6586,Spin,OFF_SPIN,YK Pathan
6770,Pace,MEDIUM_SEAM,TG Southee
6815,Spin,LEG_SPIN,M Ashwin
7016,Pace,FAST_SEAM,L Ngidi
7022,Pace,MEDIUM_SEAM,KM Asif
7338,Pace,MEDIUM_SEAM,C de Grandhomme
8056,Pace,FAST_SEAM,DJ Willey
8541,Pace,MEDIUM_SEAM,M Prasidh Krishna
8952,Pace,MEDIUM_SEAM,Anureet Singh
9017,Spin,OFF_SPIN,MM Ali
9985,Spin,ORTHODOX,Ankit Sharma
10368,Pace,FAST_SEAM,JPR Scantlebury-Searles
10608,Spin,LEG_SPIN,S Lamichhane
10626,Pace,MEDIUM_SEAM,CJ Dala
12734,Pace,MEDIUM_SEAM,CR Brathwaite
13930,Pace,MEDIUM_SEAM,KK Ahmed
14335,Spin,OFF_SPIN,SK Raina
14396,Pace,FAST_SEAM,NA Saini
14495,Pace,MEDIUM_SEAM,S Dube
14527,Pace,FAST_SEAM,LH Ferguson
14744,Pace,MEDIUM_SEAM,Rasikh Salam
14874,Pace,FAST_SEAM,I Sharma
14892,Pace,FAST_SEAM,K Rabada
14916,Pace,FAST_SEAM,KMA Paul
15118,Pace,MEDIUM_SEAM,SM Curran
15506,Pace,FAST_SEAM,GC Viljoen
15562,Pace,MEDIUM_SEAM,Mandeep Singh
15868,Pace,FAST_SEAM,SL Malinga
16754,Spin,LEG_SPIN,P Ray Barman
17120,Spin,ORTHODOX,MJ Santner
17275,Spin,OFF_SPIN,GH Vihari
17501,Pace,FAST_SEAM,VR Aaron
17829,Pace,FAST_SEAM,JP Behrendorff
17874,Spin,LEG_SPIN,RD Chahar
18594,Pace,FAST_SEAM,SC Kuggeleijn
18836,Pace,FAST_SEAM,AS Joseph
19218,Pace,MEDIUM_SEAM,HF Gurney
19332,Spin,LEG_SPIN,S Midhun
20258,Spin,LEG_SPIN,R Parag
20627,Spin,LEG_SPIN,LS Livingstone
21067,Spin,LEG_SPIN,SN Khan
21357,Spin,ORTHODOX,Abhishek Sharma
21918,Pace,MEDIUM_SEAM,Arshdeep Singh
22413,Spin,OFF_SPIN,J Yadav
22643,Pace,FAST_SEAM,DW Steyn
23070,Pace,MEDIUM_SEAM,SE Rutherford
23156,Spin,ORTHODOX,Harpreet Brar
23414,Spin,LEG_SPIN,KC Cariappa
24461,Pace,FAST_SEAM,O Thomas
24876,Spin,ORTHODOX,AS Roy
25543,Pace,MEDIUM_SEAM,S Sandeep Warrier
25977,Spin,ORTHODOX,J Suchith
28709,Pace,FAST_SEAM,JL Pattinson
28823,Pace,FAST_SEAM,SS Cottrell
28879,Spin,LEG_SPIN,Ravi Bishnoi
28951,Pace,FAST_SEAM,A Nortje
29092,Pace,MEDIUM_SEAM,T Natarajan
29098,Pace,MEDIUM_SEAM,MR Marsh
29596,Pace,FAST_SEAM,PJ Cummins
29738,Pace,MEDIUM_SEAM,KA Pollard
30070,Pace,FAST_SEAM,JR Hazlewood
30365,Pace,MEDIUM_SEAM,KL Nagarkoti
30913,Pace,MEDIUM_SEAM,I Udana
30956,Spin,LEG_SPIN,A Zampa
31962,Spin,LEG_SPIN,Abdul Samad
32578,Spin,OFF_SPIN,KS Williamson
33288,Pace,FAST_SEAM,Kartik Tyagi
35850,Pace,MEDIUM_SEAM,TU Deshpande
36226,Pace,FAST_SEAM,NM Coulter-Nile
36344,Spin,OFF_SPIN,CJ Green
36497,Spin,ORTHODOX,Shahbaz Ahmed
37790,Pace,FAST_SEAM,DR Sams
38121,Pace,MEDIUM_SEAM,JO Holder
39055,Pace,MEDIUM_SEAM,Monu Kumar
39966,Spin,LEG_SPIN,DA Warner
41393,Spin,OFF_SPIN,CH Gayle
151,Spin,LEG_SPIN,CV Varun
152,Pace,MEDIUM_SEAM,DT Christian
153,Pace,MEDIUM_SEAM,JDS Neesham
154,Pace,FAST_SEAM,Mohammed Shami
155,Spin,LEG_SPIN,P Dubey
156,Pace,MEDIUM_SEAM,Y Prithvi Raj
157,Spin,OFF_SPIN,JP Duminy
